customer_id,country,state
1.27E+18,AE,Other
6.69E+18,AE,Other
2.32E+18,AG,Other
5.34E+18,AT,Other
7.70E+18,AU,Other
2.47E+18,AU,Other
7.87E+18,AU,Other
1.86E+18,AW,Other
8.26E+18,BB,Other
2.79E+18,BE,Other
8.43E+18,BS,Other
6.79E+18,CA,AB
2.57E+18,CA,AB
7.23E+18,CA,AB
8.40E+18,CA,AB
2.53E+17,CA,AB
4.18E+18,CA,AB
1.77E+18,CA,AB
7.85E+18,CA,AB
2.48E+18,CA,BC
2.48E+18,CA,BC
8.47E+18,CA,BC
7.05E+18,CA,BC
5.68E+18,CA,BC
7.77E+18,CA,MB
6.05E+18,CA,MB
5.89E+18,CA,NB
6.44E+18,CA,NS
6.04E+18,CA,ON
3.65E+18,CA,ON
3.97E+16,CA,ON
5.01E+18,CA,ON
1.65E+18,CA,ON
5.51E+18,CA,ON
6.24E+17,CA,ON
4.90E+18,CA,ON
4.50E+17,CA,ON
7.22E+18,CA,ON
3.21E+18,CA,ON
5.56E+18,CA,ON
3.35E+18,CA,ON
7.49E+18,CA,ON
4.69E+18,CA,ON
1.87E+18,CA,ON
6.42E+18,CA,ON
7.33E+18,CA,ON
2.92E+18,CA,ON
2.75E+17,CA,ON
3.50E+17,CA,ON
9.31E+17,CA,ON
5.56E+18,CA,ON
3.22E+18,CA,ON
3.53E+18,CA,ON
8.92E+18,CA,ON
2.50E+18,CA,QC
6.63E+18,CA,QC
5.39E+18,CA,QC
9.75E+17,CA,QC
4.46E+18,CA,QC
6.56E+18,CA,QC
6.65E+18,CA,QC
3.45E+18,CA,QC
4.30E+18,CA,QC
7.03E+18,CA,QC
7.18E+18,CA,QC
3.76E+18,CA,QC
4.21E+18,CA,QC
7.51E+18,CA,QC
1.80E+18,CA,SK
3.12E+18,CA,SK
9.15E+18,CA,Other
3.90E+18,CA,Other
9.18E+18,CA,Other
3.20E+18,DE,Other
5.40E+18,DE,Other
9.03E+18,ES,Other
4.01E+18,FR,Other
3.84E+18,FR,Other
2.23E+18,GB,Other
2.50E+18,GD,Other
6.05E+18,GD,Other
4.70E+18,HK,Other
2.39E+18,HK,Other
3.95E+18,HT,Other
5.66E+18,IL,Other
7.73E+18,IL,Other
7.14E+18,IL,Other
4.46E+18,IN,Other
6.40E+18,JM,Other
4.08E+17,JM,Other
7.24E+18,JM,Other
2.19E+18,JM,Other
3.62E+18,JM,Other
4.09E+18,KW,Other
5.70E+18,LT,Other
3.35E+18,LV,Other
5.74E+18,MX,Other
5.92E+18,MX,Other
8.55E+18,MX,Other
5.79E+17,MY,Other
5.66E+18,NI,Other
8.99E+18,NL,Other
2.31E+18,PA,Other
8.31E+18,PH,Other
8.51E+18,PH,Other
7.08E+18,PR,PR
7.55E+18,PR,PR
7.59E+18,PR,PR
3.94E+18,PR,PR
5.66E+18,PR,PR
3.49E+18,PR,PR
2.34E+18,PR,PR
4.67E+18,PR,PR
3.87E+17,PR,PR
5.60E+18,PR,PR
7.29E+18,PR,PR
5.36E+17,PR,PR
4.76E+18,PR,PR
9.15E+18,PR,PR
1.89E+18,PR,PR
8.44E+18,PR,PR
3.71E+17,PR,PR
9.20E+18,PR,PR
8.11E+18,PR,PR
7.73E+18,PR,Other
7.61E+18,SA,Other
1.91E+18,SA,Other
6.17E+18,TR,Other
6.17E+18,TT,Other
7.56E+18,UA,Other
4.18E+18,US,AK
3.87E+18,US,AK
4.90E+18,US,AK
7.24E+17,US,AK
4.25E+18,US,AK
9.08E+18,US,AK
6.74E+18,US,AK
2.50E+18,US,AL
4.74E+18,US,AL
6.12E+18,US,AL
6.13E+17,US,AL
1.18E+18,US,AL
7.57E+18,US,AL
3.04E+18,US,AL
6.46E+18,US,AL
4.18E+18,US,AL
2.40E+18,US,AL
2.92E+18,US,AL
1.68E+18,US,AL
6.41E+18,US,AL
5.05E+17,US,AL
8.97E+18,US,AL
4.75E+18,US,AL
1.38E+18,US,AL
6.79E+17,US,AL
3.11E+18,US,AL
8.92E+18,US,AL
8.48E+18,US,AL
7.69E+18,US,AL
6.23E+18,US,AL
2.20E+18,US,AL
8.19E+18,US,AL
2.53E+18,US,AL
3.27E+18,US,AL
1.58E+18,US,AL
7.20E+17,US,AL
7.28E+17,US,AL
5.21E+18,US,AL
8.74E+18,US,AL
1.50E+18,US,AL
3.01E+18,US,AL
8.16E+16,US,AL
2.47E+18,US,AL
2.12E+18,US,AL
6.87E+18,US,AL
8.88E+18,US,AL
2.13E+17,US,AL
8.13E+18,US,AL
7.86E+17,US,AL
8.41E+18,US,AL
8.12E+18,US,AL
2.41E+18,US,AL
4.45E+18,US,AL
8.22E+18,US,AL
1.40E+18,US,AL
3.98E+18,US,AL
6.55E+17,US,AL
8.31E+18,US,AL
5.16E+18,US,AL
7.58E+18,US,AL
1.62E+18,US,AL
6.89E+18,US,AL
5.74E+18,US,AL
6.61E+17,US,AL
6.94E+18,US,AL
4.27E+18,US,AL
1.20E+18,US,AL
1.11E+18,US,AL
7.19E+18,US,AL
4.44E+18,US,AL
6.70E+18,US,AL
2.05E+18,US,AL
7.39E+18,US,AL
1.71E+17,US,AL
3.36E+18,US,AL
5.62E+18,US,AL
5.26E+18,US,AL
6.77E+18,US,AL
1.15E+18,US,AL
2.69E+18,US,AL
7.73E+18,US,AL
6.28E+18,US,AL
3.37E+16,US,AL
2.63E+18,US,AL
7.70E+18,US,AL
1.77E+18,US,AL
6.95E+18,US,AL
7.10E+18,US,AL
6.13E+18,US,AL
8.42E+18,US,AL
1.95E+18,US,AL
1.06E+18,US,AL
6.17E+18,US,AL
4.83E+18,US,AL
9.88E+17,US,AL
3.84E+18,US,AL
5.94E+18,US,AL
1.71E+18,US,AL
6.90E+18,US,AL
1.29E+18,US,AL
3.58E+18,US,AL
8.33E+18,US,AL
2.31E+18,US,AL
3.91E+18,US,AL
8.57E+18,US,AL
6.94E+18,US,AL
5.95E+18,US,AL
2.06E+18,US,AL
3.21E+18,US,AL
2.04E+18,US,AL
2.63E+18,US,AL
5.10E+18,US,AL
1.26E+18,US,AL
3.80E+18,US,AL
7.06E+18,US,AL
6.86E+18,US,AL
8.61E+17,US,AL
6.79E+18,US,AL
7.68E+18,US,AL
2.28E+18,US,AL
4.22E+17,US,AL
2.00E+18,US,AL
