brand,item_id,gross_item_value,order_date,order_datetime,product_id,order_id,customer_id,product_group,country,state
Brand 1,1370486,21.5,1/1/2024,2024-01-01T10:29:14,2077,1229709,5.8e+18,Category 8,Us,Wi
Brand 2,3794133,4.38,1/1/2024,2024-01-01T23:30:21,119,753517,8.21e+18,Category 3,Us,Va
Brand 3,17037113,40.5,1/1/2024,2024-01-01T13:42:54.547000,5145,2994406,1.15e+18,Category 4,Us,Va
Brand 4,17037214,45.91,1/1/2024,2024-01-01T14:50:30.140000,17013,2994429,2.96e+18,Category 8,Us,Tx
Brand 2,3792949,5.05,1/1/2024,2024-01-01T06:56:35,1095,753292,6.72e+18,Category 8,Us,Wa
Brand 4,17036952,17.38,1/1/2024,2024-01-01T11:19:40.793000,15053,2994371,5.95e+18,Category 8,Us,Tx
Brand 2,3793024,34.34,1/1/2024,2024-01-01T09:42:27,818,753306,8.33e+17,Category 8,Us,Fl
Brand 3,17037241,61.34,1/1/2024,2024-01-01T15:23:58.017000,2779,2994437,3.67e+18,Category 6,Us,Tn
Brand 1,1370838,2.92,1/1/2024,2024-01-01T15:16:50,552,1229773,2.84e+18,Category 8,Us,Va
Brand 2,3793097,18.71,1/1/2024,2024-01-01T11:12:47,157,753320,8.55e+18,Category 8,Us,Pa
Brand 2,3793373,47.07,1/1/2024,2024-01-01T14:40:34,95,753373,9.13e+18,Category 3,Us,Tn
Brand 1,1370760,17.41,1/1/2024,2024-01-01T14:22:20,525,1229753,9.05e+18,Category 3,Us,Wi
Brand 1,1370641,3.72,1/1/2024,2024-01-01T13:18:55,2061,1229740,8.59e+18,Category 8,Us,Oh
Brand 3,17037622,15.84,1/1/2024,2024-01-01T18:50:44.170000,3562,2994506,1.92e+18,Category 4,Us,Wi
Brand 2,3793173,1.2,1/1/2024,2024-01-01T12:16:45,702,753332,5.46e+18,Category 8,Us,Va
Brand 1,1371089,15.9,1/1/2024,2024-01-01T19:08:09,1277,1229841,5.57e+18,Category 8,Us,Ok
Brand 2,3793308,18.65,1/1/2024,2024-01-01T13:55:11,985,753357,1.64e+18,Category 8,Us,Wi
Brand 2,3793040,125.33,1/1/2024,2024-01-01T10:05:32,714,753310,3.42e+18,Category 8,Us,Pa
Brand 1,1370870,8.66,1/1/2024,2024-01-01T15:32:27,886,1229779,6.47e+18,Category 8,Us,Sc
Brand 3,17037628,259.9,1/1/2024,2024-01-01T19:10:31.500000,6741,2994509,7.03e+17,Category 10,Us,Ca
Brand 2,3793977,1.86,1/1/2024,2024-01-01T21:38:02,656,753482,4.38e+18,Category 8,Us,Wa
Brand 5,17037321,3.62,1/1/2024,2024-01-01T16:19:59.877000,21288,2994454,3.97e+18,Other,Us,Wi
Brand 3,17037707,14.86,1/1/2024,2024-01-01T19:52:31.403000,7343,2994524,7.47e+18,Category 8,Us,Tx
Brand 2,3793417,4.69,1/1/2024,2024-01-01T15:09:08,398,753382,2.28e+18,Category 3,Us,Wv
Brand 3,17037245,87.88,1/1/2024,2024-01-01T15:23:58.017000,7112,2994437,3.67e+18,Category 4,Us,Tn
Brand 2,3792939,29.41,1/1/2024,2024-01-01T06:12:24,1399,753289,1.78e+18,Category 8,Us,Tx
Brand 2,3793924,3.32,1/1/2024,2024-01-01T21:04:51,1074,753474,7.66e+18,Category 8,Us,Tx
Brand 3,17036718,9.34,1/1/2024,2024-01-01T01:10:30.580000,3008,2994320,5.77e+18,Category 8,Us,Tx
Brand 1,1370976,48.86,1/1/2024,2024-01-01T17:15:33,1228,1229808,8.74e+18,Category 8,Us,Wv
Brand 5,17036753,104.36,1/1/2024,2024-01-01T03:00:01.683000,20697,2994328,6.32e+18,Category 9,Us,Tx
Brand 2,3793241,2.15,1/1/2024,2024-01-01T12:43:31,513,753343,7.48e+18,Category 8,Us,Wi
Brand 2,3793092,5.98,1/1/2024,2024-01-01T11:12:47,843,753320,8.55e+18,Category 8,Us,Pa
Brand 1,1371335,3.81,1/1/2024,2024-01-01T21:42:41,702,1229886,3.7e+18,Category 8,Us,Tx
Brand 5,17037801,28.2,1/1/2024,2024-01-01T20:14:51.777000,21190,2994532,5.68e+18,Category 4,Us,Tx
Brand 3,17037410,56.39,1/1/2024,2024-01-01T17:21:59.033000,8880,2994475,6.56e+18,Category 10,Us,Wa
Brand 3,17037815,76.78,1/1/2024,2024-01-01T20:26:16.330000,11541,2994537,8.88e+17,Other,Us,Tx
Brand 1,1370904,11.62,1/1/2024,2024-01-01T16:26:44,117,1229791,7.81e+18,Category 8,Us,Wi
Brand 1,1370550,16.95,1/1/2024,2024-01-01T11:42:14,233,1229722,3.78e+18,Category 4,Us,Tn
Brand 3,17036919,150.54,1/1/2024,2024-01-01T11:01:25.210000,12082,2994364,3.4e+18,Category 5,Us,Wy
Brand 3,17037317,27.05,1/1/2024,2024-01-01T16:19:59.877000,13430,2994454,3.97e+18,Category 8,Us,Wi
Brand 2,3792891,20.39,1/1/2024,2024-01-01T01:32:39,573,753280,1.58e+18,Category 8,Us,Tx
Brand 3,17037619,19.43,1/1/2024,2024-01-01T18:47:41.320000,2246,2994505,2.14e+18,Category 8,Us,Nh
Brand 3,17037708,16.36,1/1/2024,2024-01-01T19:52:31.403000,10809,2994524,7.47e+18,Category 8,Us,Tx
Brand 1,1370597,3.16,1/1/2024,2024-01-01T12:01:54,312,1229727,5e+17,Category 8,Us,In
Brand 2,3793182,3.97,1/1/2024,2024-01-01T12:16:45,170,753332,5.46e+18,Category 8,Us,Va
Brand 3,17037917,7.34,1/1/2024,2024-01-01T21:26:26.397000,9709,2994555,5.21e+18,Category 8,Us,Wa
